Robert Garrett,1Password,,,Robert’s MacBook Pro,Mac,/Applications/1Password.app,Identified Developer,,com.1password.1password,8.10.82.349290,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",8.10.82
Robert Garrett,1Password Browser Helper,,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Library/LoginItems/1Password Browser Helper.app,Identified Developer,,2BUA8C4S2C.com.1password.browser-helper,8.10.82,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",8.10.82
Robert Garrett,1Password for Safari,,,Robert’s MacBook Pro,Mac,/Applications/1Password for Safari.app,Mac App Store,,com.1password.safari,81082029,"Apple Mac OS Application Signing, Apple Worldwide Developer Relations Certification Authority, Apple Root CA",8.10.82
Robert Garrett,1Password Helper,,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Frameworks/1Password Helper.app,Identified Developer,,com.1password.1password.helper,8.10.82.349290,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",
Robert Garrett,1Password Helper (GPU),,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Frameworks/1Password Helper (GPU).app,Identified Developer,,com.1password.1password.helper.GPU,8.10.82.349290,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",
Robert Garrett,1Password Helper (Plugin),,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Frameworks/1Password Helper (Plugin).app,Identified Developer,,com.1password.1password.helper.Plugin,8.10.82.349290,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",
Robert Garrett,1Password Helper (Renderer),,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Frameworks/1Password Helper (Renderer).app,Identified Developer,,com.1password.1password.helper.Renderer,8.10.82.349290,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",
Robert Garrett,1Password Installer,,,Robert’s MacBook Pro,Mac,/Users/rg/Downloads/1Password Installer.app,Identified Developer,,com.1password.1password-installer,81036049,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",8.10.36
Robert Garrett,1Password Launcher,,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/Library/LoginItems/1Password Launcher.app,Identified Developer,,com.1password.1password-launcher,1,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",1
Robert Garrett,1Password Updater,,,Robert’s MacBook Pro,Mac,/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/Helpers/1Password Updater.app,Identified Developer,,com.1password.OP-Updater,81082029,"Developer ID Application: AgileBits Inc. (2BUA8C4S2C), Developer ID Certification Authority, Apple Root CA",8.10.82
